query_id,treatment_id,parent_node,Parent Relationship,Join Type,Parallel Aware,Hash Cond,Node Type,Plan Rows,Output,Plan Width,Join Filter,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,output_rows,input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
81268,6,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,204,"['tags.tagname', 'posts.id']",20,0,0,204,1943,1943,0,1943,0.0133333333333401,1.0,60186.0,0.0,0.0,0.0,0.0,0.005752328889094197,4.7795026966074605,0,mathso,ce_mathso
81268,6,Hash Join,Outer,Inner,False,(posttags.postid = posts.parentid),Hash Join,204,"['posttags.tagid', 'posts.id']",8,0,1,3641094,0,115,0,1,0.014999999999986335,1.0,60170.0,0.0,0.0,0.0,0.0,0.0064660422492258856,4.779387229222635,0,mathso,ce_mathso
81268,6,Sort,Outer,Inner,False,(votes.postid = posts.id),Hash Join,477,['tags.tagname'],16,0,1,8317209,0,204,0,1,0.014000000000009968,1.0,60187.0,0.0,0.0,0.0,0.0,0.006037954997321456,4.779509912299787,0,mathso,ce_mathso
81449,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,450,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,8294,149,39231,10763051,13335.48975,1.0,745137.0,0.0,0.0,578809.0,578809.0,4.125041535516492,5.872236711793098,0,mathso,ce_mathso
81449,6,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,450,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,8294,149,39231,10763051,1222.0493333333334,1.0,745137.0,0.0,0.0,0.0,0.0,3.0874439752393337,5.872236711793098,0,mathso,ce_mathso
81484,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,12,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,892,4,5312,10755649,1366.8734999999995,1.0,745137.0,0.0,0.0,0.0,0.0,3.1360459359862842,5.872236711793098,0,mathso,ce_mathso
81484,6,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,12,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,892,4,5312,10755649,1231.2196666666666,1.0,745137.0,0.0,0.0,0.0,0.0,3.090688136007992,5.872236711793098,0,mathso,ce_mathso
81503,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,12,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,892,4,5312,10755649,1386.2935000000002,1.0,745137.0,0.0,0.0,0.0,0.0,3.1421683514453123,5.872236711793098,0,mathso,ce_mathso
81503,6,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,12,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,892,4,5312,10755649,1190.059,1.0,745137.0,0.0,0.0,0.0,0.0,3.0759332751181976,5.872236711793098,0,mathso,ce_mathso
81506,0,Sort,Outer,Inner,False,(h.postid = p.id),Hash Join,12,"['p.id', 'p.score', 'h.posthistorytypeid']",12,0,10754757,10754757,968,4,5780,10755725,1375.50175,1.0,745137.0,0.0,0.0,0.0,0.0,3.138776767865099,5.872236711793098,0,mathso,ce_mathso
